date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:44	32488/32488	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:38:37%20GMT	https://grandetest.com/theme/jobhunt-html/candidates_single.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/candidates_single.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:44	32811/32811	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:38:27%20GMT	https://grandetest.com/theme/jobhunt-html/candidates_single2.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/candidates_single2.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:45	35635/35635	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:39:23%20GMT	https://grandetest.com/theme/jobhunt-html/candidates_my_resume.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/candidates_my_resume.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:46	33352/33352	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:39:13%20GMT	https://grandetest.com/theme/jobhunt-html/candidates_my_resume_add_new.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/candidates_my_resume_add_new.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:46	33364/33364	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:39:00%20GMT	https://grandetest.com/theme/jobhunt-html/candidates_profile.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/candidates_profile.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:46	31051/31051	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:38:50%20GMT	https://grandetest.com/theme/jobhunt-html/candidates_shortlist.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/candidates_shortlist.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:46	25060/25060	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:40:05%20GMT	https://grandetest.com/theme/jobhunt-html/candidates_job_alert.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/candidates_job_alert.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:47	29055/29055	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:40:16%20GMT	https://grandetest.com/theme/jobhunt-html/candidates_dashboard.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/candidates_dashboard.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:47	24203/24203	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:40:25%20GMT	https://grandetest.com/theme/jobhunt-html/candidates_cv_cover_letter.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/candidates_cv_cover_letter.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:47	23595/23595	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:40:35%20GMT	https://grandetest.com/theme/jobhunt-html/candidates_change_password.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/candidates_change_password.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:48	25891/25891	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:40:44%20GMT	https://grandetest.com/theme/jobhunt-html/candidates_applied_jobs.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/candidates_applied_jobs.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:49	27128/27128	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:41:26%20GMT	https://grandetest.com/theme/jobhunt-html/blog_list.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/blog_list.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:50	29091/29091	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:41:11%20GMT	https://grandetest.com/theme/jobhunt-html/blog_list2.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/blog_list2.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:50	27736/27736	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:41:02%20GMT	https://grandetest.com/theme/jobhunt-html/blog_list3.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/blog_list3.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:50	32362/32362	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:40:53%20GMT	https://grandetest.com/theme/jobhunt-html/blog_single.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/blog_single.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:51	36467/36467	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:33:32%20GMT	https://grandetest.com/theme/jobhunt-html/job_list_classic.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/job_list_classic.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:51	27972/27972	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:33:20%20GMT	https://grandetest.com/theme/jobhunt-html/job_list_grid.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/job_list_grid.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:51	28333/28333	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:33:02%20GMT	https://grandetest.com/theme/jobhunt-html/job_single1.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/job_single1.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:52	25188/25188	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:32:44%20GMT	https://grandetest.com/theme/jobhunt-html/job_single2.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/job_single2.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:53	29067/29067	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:32:54%20GMT	https://grandetest.com/theme/jobhunt-html/job-single3.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/job-single3.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:53	2646/2646	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20May%202018%2013:01:36%20GMT	https://grandetest.com/theme/jobhunt-html/404.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/404.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:53	35687/35687	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:33:11%20GMT	https://grandetest.com/theme/jobhunt-html/job_list_modern.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/job_list_modern.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
